Age,Gender,edu_level,EP1,EP2,EP3,EP4,EP5,SCTB1,SCTB2,SCTB3,SCTB4,SCTB5,CR1,CR2,CR3,T1,T2,T3,T4,PS1,PS2,PS3,PS4,PS5
20,1,4,5,5,5,5,5,5,5,5,5,5,5,2,4,5,5,5,5,5,5,5,5,5
22,2,4,5,5,4,5,3,3,3,2,2,5,4,4,4,5,3,4,4,4,4,4,5,5
21,2,4,5,3,5,5,5,2,1,1,1,1,5,4,5,5,5,5,5,5,5,4,5,2
39,1,5,5,2,5,5,4,3,3,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4
63,1,4,5,5,5,5,5,3,3,2,3,3,5,5,5,4,5,4,5,5,5,5,5,5
20,2,4,4,5,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,5,4,4,4,4
21,2,3,5,5,5,4,5,2,3,3,2,4,5,4,4,4,3,3,5,4,3,4,4,5
22,2,4,3,3,3,3,3,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3
18,2,3,4,4,5,5,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4
21,1,4,5,5,5,5,5,3,1,1,3,3,5,5,5,5,4,4,4,4,5,4,4,5
19,1,3,4,5,5,4,5,1,1,1,2,2,2,2,4,4,3,4,4,3,3,3,4,3
22,1,3,5,5,5,5,5,3,3,4,3,3,2,4,2,3,3,4,5,5,5,4,5,5
19,2,3,3,5,5,5,5,5,5,2,2,3,2,5,5,2,1,3,3,2,3,2,3,2
21,1,3,2,2,2,2,3,3,1,1,1,1,2,2,2,3,3,3,3,2,3,3,3,3
21,2,4,4,5,4,3,4,1,1,1,1,3,5,5,5,5,5,4,5,4,5,5,5,5
19,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
27,1,4,4,4,3,4,3,5,2,4,2,2,3,3,3,3,4,4,3,4,4,4,4,4
25,2,4,4,4,4,4,4,3,3,1,2,1,1,1,3,3,2,3,4,3,4,3,3,3
25,2,4,4,4,4,5,5,1,1,1,1,1,2,5,5,5,5,5,5,4,5,5,5,5
25,2,3,5,5,5,5,5,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5
18,1,4,4,5,5,4,4,5,2,1,3,3,4,4,4,4,4,4,4,3,4,4,4,5
18,1,4,5,4,5,5,5,3,1,5,5,1,5,4,5,5,3,4,5,4,5,5,5,5
20,1,4,5,5,5,5,5,1,1,2,2,1,2,3,2,4,4,3,3,5,5,5,5,5
20,2,3,4,4,3,4,4,4,4,4,5,4,5,5,5,5,5,5,5,4,3,4,4,3
22,2,4,5,4,5,5,5,3,2,3,3,2,5,5,5,5,5,5,5,5,5,5,5,5
20,2,4,5,5,5,5,5,4,4,3,3,4,4,3,4,4,4,4,5,4,4,4,4,4
19,1,3,5,5,5,5,3,1,2,2,2,2,5,5,3,3,3,5,5,3,5,4,5,5
21,1,4,5,5,5,5,5,1,1,1,3,3,4,3,3,4,4,4,4,5,5,5,5,5
24,1,4,4,5,5,5,5,4,4,5,5,4,4,4,4,5,4,4,4,5,5,5,5,5
21,2,4,3,2,2,3,3,1,1,2,2,4,1,3,2,2,3,3,3,1,1,1,1,4
21,1,3,3,3,3,4,3,3,2,3,3,3,5,5,5,4,4,4,5,3,4,3,3,3
78,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
20,1,3,5,4,5,5,4,3,4,5,4,3,1,3,2,4,3,4,3,4,4,4,3,4
21,2,3,4,4,3,4,3,5,5,3,3,3,5,5,5,5,4,5,5,4,5,5,5,5
19,1,4,4,4,4,3,2,3,3,4,3,3,4,4,5,5,5,5,5,5,5,5,5,5
20,2,3,5,5,5,5,2,1,1,1,3,5,5,3,5,5,4,5,5,5,5,1,4,5
24,2,3,3,4,4,4,2,3,2,2,2,3,3,4,4,4,4,4,3,4,4,3,3,3
20,1,3,4,4,4,4,3,3,3,3,4,3,4,4,4,5,4,4,4,4,4,3,3,3
24,2,4,5,5,5,5,5,2,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5
18,2,3,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,5,4,4,4,3,4,3
21,2,3,5,5,5,5,5,3,4,3,5,5,5,5,5,5,5,5,5,5,5,3,4,4
20,1,4,5,5,5,5,5,4,5,5,5,5,4,3,3,4,4,4,4,5,5,5,5,5
22,1,3,4,3,3,3,4,4,3,4,3,3,4,4,4,2,3,4,3,4,2,4,4,4
21,2,4,5,5,5,5,5,5,4,2,4,4,4,5,4,5,4,5,5,5,5,5,4,5
21,2,4,4,4,4,5,4,3,2,2,3,2,5,5,5,5,4,5,5,5,4,4,4,4
20,2,4,4,5,5,5,4,4,3,4,4,4,4,5,5,5,5,4,5,4,4,4,5,4
18,1,3,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
22,2,4,3,4,4,4,5,4,4,3,5,4,4,4,5,5,5,5,5,4,3,2,5,3
30,2,5,5,5,5,5,5,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5
21,2,4,3,4,3,3,3,3,4,3,4,3,3,3,3,4,4,4,4,3,3,3,4,3
22,1,3,4,4,4,4,4,1,1,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4
21,1,2,3,4,5,5,5,1,1,4,3,4,2,4,4,4,3,3,3,4,5,3,5,4
19,1,4,5,5,5,5,5,1,1,1,1,1,5,5,5,5,5,5,5,5,5,1,5,5
19,1,4,5,5,5,5,5,1,1,1,1,1,5,5,5,5,5,5,5,5,5,1,5,5
21,2,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3
20,1,3,5,5,5,5,5,3,3,2,2,3,3,5,5,4,5,5,5,5,5,4,5,5
18,1,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
20,1,3,4,3,4,3,4,4,3,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4
21,2,3,4,4,5,4,4,5,4,4,4,4,5,3,5,4,4,5,5,4,4,4,5,5
19,2,4,5,5,5,5,4,2,1,1,1,4,5,5,5,4,4,5,5,5,5,5,4,5
18,1,3,5,5,5,5,4,3,3,3,3,5,2,4,4,2,2,2,4,4,4,5,5,5
20,2,4,5,5,5,5,5,4,4,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5
19,1,4,5,5,5,5,5,2,2,2,1,3,5,5,5,5,4,4,5,5,5,5,5,5
19,1,3,5,5,5,5,5,3,3,2,4,4,3,2,2,3,3,3,4,4,5,4,4,5
21,2,3,5,5,5,4,5,2,3,3,2,4,5,4,4,4,3,3,5,4,3,4,4,5
22,2,4,3,3,3,3,3,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3
18,2,3,4,4,5,5,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4
21,1,4,5,5,5,5,5,3,1,1,3,3,5,5,5,5,4,4,4,4,5,4,4,5
19,1,3,4,5,5,4,5,1,1,1,2,2,2,2,4,4,3,4,4,3,3,3,4,3
22,1,3,5,5,5,5,5,3,3,4,3,3,2,4,2,3,3,4,5,5,5,4,5,5
19,2,3,3,5,5,5,5,5,5,2,2,3,2,5,5,2,1,3,3,2,3,2,3,2
21,1,3,2,2,2,2,3,3,1,1,1,1,2,2,2,3,3,3,3,2,3,3,3,3
21,2,4,4,5,4,3,4,1,1,1,1,3,5,5,5,5,5,4,5,4,5,5,5,5
19,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
27,1,4,4,4,3,4,3,5,2,4,2,2,3,3,3,3,4,4,3,4,4,4,4,4
25,2,4,4,4,4,4,4,3,3,1,2,1,1,1,3,3,2,3,4,3,4,3,3,3
25,2,4,4,4,4,5,5,1,1,1,1,1,2,5,5,5,5,5,5,4,5,5,5,5
25,2,3,5,5,5,5,5,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5
18,1,4,4,5,5,4,4,5,2,1,3,3,4,4,4,4,4,4,4,3,4,4,4,5
18,1,4,5,4,5,5,5,3,1,5,5,1,5,4,5,5,3,4,5,4,5,5,5,5
20,1,4,5,5,5,5,5,1,1,2,2,1,2,3,2,4,4,3,3,5,5,5,5,5
20,2,3,4,4,3,4,4,4,4,4,5,4,5,5,5,5,5,5,5,4,3,4,4,3
22,2,4,5,4,5,5,5,3,2,3,3,2,5,5,5,5,5,5,5,5,5,5,5,5
20,2,4,5,5,5,5,5,4,4,3,3,4,4,3,4,4,4,4,5,4,4,4,4,4
19,1,3,5,5,5,5,3,1,2,2,2,2,5,5,3,3,3,5,5,3,5,4,5,5
21,1,4,5,5,5,5,5,1,1,1,3,3,4,3,3,4,4,4,4,5,5,5,5,5
24,1,4,4,5,5,5,5,4,4,5,5,4,4,4,4,5,4,4,4,5,5,5,5,5
21,2,4,3,2,2,3,3,1,1,2,2,4,1,3,2,2,3,3,3,1,1,1,1,4
21,1,3,3,3,3,4,3,3,2,3,3,3,5,5,5,4,4,4,5,3,4,3,3,3
78,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
20,1,3,5,4,5,5,4,3,4,5,4,3,1,3,2,4,3,4,3,4,4,4,3,4
21,2,3,4,4,3,4,3,5,5,3,3,3,5,5,5,5,4,5,5,4,5,5,5,5
19,1,4,4,4,4,3,2,3,3,4,3,3,4,4,5,5,5,5,5,5,5,5,5,5
20,2,3,5,5,5,5,2,1,1,1,3,5,5,3,5,5,4,5,5,5,5,1,4,5
24,2,3,3,4,4,4,2,3,2,2,2,3,3,4,4,4,4,4,3,4,4,3,3,3
20,1,3,4,4,4,4,3,3,3,3,4,3,4,4,4,5,4,4,4,4,4,3,3,3
24,2,4,5,5,5,5,5,2,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5
18,2,3,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,5,4,4,4,3,4,3
21,2,3,5,5,5,5,5,3,4,3,5,5,5,5,5,5,5,5,5,5,5,3,4,4
20,1,4,5,5,5,5,5,4,5,5,5,5,4,3,3,4,4,4,4,5,5,5,5,5
22,1,3,4,3,3,3,4,4,3,4,3,3,4,4,4,2,3,4,3,4,2,4,4,4
21,2,4,5,5,5,5,5,5,4,2,4,4,4,5,4,5,4,5,5,5,5,5,4,5
21,2,4,4,4,4,5,4,3,2,2,3,2,5,5,5,5,4,5,5,5,4,4,4,4
20,2,4,4,5,5,5,4,4,3,4,4,4,4,5,5,5,5,4,5,4,4,4,5,4
18,1,3,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
22,2,4,3,4,4,4,5,4,4,3,5,4,4,4,5,5,5,5,5,4,3,2,5,3
30,2,5,5,5,5,5,5,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5
